sd_size	sd_par_size	min_size_dif	sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_patt	avg_patt_thr	avg_par_size	avg_par_patt	end_gen
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020360	0.028387	10.000000	14.510672	10.000000	10.856164	9.999183	11.999725	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.013277	0.037333	10.000000	13.264504	10.000000	10.929149	10.000395	12.000193	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016883	0.032387	10.000000	12.843257	10.000000	10.888082	9.999685	11.999787	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.025867	0.024027	10.000000	11.975367	10.000000	10.811615	10.000175	12.000066	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.024710	0.025067	10.000000	13.264716	10.000000	10.822077	9.999974	11.999639	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.023847	0.025940	10.000000	11.613643	10.000000	10.829511	9.999753	11.999382	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015490	0.032950	10.000000	12.806166	10.000000	10.900001	10.000665	12.000153	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.023097	0.026717	10.000000	11.622723	10.000000	10.837017	10.000774	12.000221	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020313	0.033870	10.000000	12.883788	10.000000	10.882397	10.000339	11.999917	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.015953	0.035977	10.000000	11.456098	10.000000	10.921363	9.999591	12.001086	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.020423	0.030020	10.000000	11.224797	10.000000	10.878211	9.999362	12.000725	2999
0.416667	0.600000	0.000000	0.416667	0.600000	2.000000	0.016157	0.032477	10.000000	12.211855	10.000000	10.895511	10.000393	12.000720	2999
