sd_size	sd_par_size	min_size_dif	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.416667	0.600000	0.000000	0.175023	0.566413	10.000000	10.104243	10.002640	2999
0.416667	0.600000	0.000000	0.185590	0.558433	10.000000	10.090326	10.002904	2999
0.416667	0.600000	0.000000	0.144733	0.597217	10.000000	10.153224	10.003525	2999
0.416667	0.600000	0.000000	0.152383	0.589647	10.000000	10.138961	10.002862	2999
0.416667	0.600000	0.000000	0.130187	0.614733	10.000000	10.176380	10.002935	2999
0.416667	0.600000	0.000000	0.161557	0.580810	10.000000	10.123486	10.003669	2999
0.416667	0.600000	0.000000	0.178727	0.562273	10.000000	10.097686	10.002951	2999
0.416667	0.600000	0.000000	0.190090	0.553200	10.000000	10.081359	10.003219	2999
0.416667	0.600000	0.000000	0.186663	0.555493	10.000000	10.085873	10.002981	2999
0.416667	0.600000	0.000000	0.204703	0.540367	10.000000	10.063881	10.003469	2999
0.416667	0.600000	0.000000	0.169300	0.570853	10.000000	10.113064	10.002730	2999
0.416667	0.600000	0.000000	0.177830	0.563273	10.000000	10.099538	10.003465	2999
0.416667	0.600000	0.000000	0.161303	0.580180	10.000000	10.124549	10.002950	2999
0.416667	0.600000	0.000000	0.161657	0.580563	10.000000	10.124236	10.003117	2999
0.416667	0.600000	0.500000	0.131703	0.387397	10.000000	10.330713	10.502527	2999
0.416667	0.600000	0.500000	0.171817	0.347117	10.000000	10.265542	10.502559	2999
0.416667	0.600000	0.500000	0.167027	0.350533	10.000000	10.273734	10.502871	2999
0.416667	0.600000	0.500000	0.141310	0.376580	10.000000	10.314681	10.502715	2999
0.416667	0.600000	0.500000	0.139003	0.377453	10.000000	10.317094	10.502181	2999
0.416667	0.600000	0.500000	0.165610	0.353110	10.000000	10.274505	10.502348	2999
0.416667	0.600000	0.500000	0.147180	0.371867	10.000000	10.304381	10.502829	2999
0.416667	0.600000	0.500000	0.162420	0.355820	10.000000	10.280144	10.503198	2999
0.416667	0.600000	0.500000	0.139793	0.379113	10.000000	10.316178	10.502877	2999
0.416667	0.600000	0.500000	0.142683	0.375893	10.000000	10.311790	10.502565	2999
0.416667	0.600000	0.500000	0.140950	0.378073	10.000000	10.315270	10.502951	2999
0.416667	0.600000	0.500000	0.164877	0.352490	10.000000	10.276277	10.503095	2999
0.416667	0.600000	0.500000	0.151163	0.367223	10.000000	10.297419	10.502537	2999
0.416667	0.600000	0.500000	0.135333	0.382200	10.000000	10.324394	10.502207	2999
0.416667	0.600000	0.500000	0.161373	0.355940	10.000000	10.282111	10.502784	2999
0.416667	0.600000	0.500000	0.139100	0.378823	10.000000	10.315986	10.502208	2999
0.416667	0.600000	0.500000	0.158170	0.358267	10.000000	10.286523	10.502482	2999
0.416667	0.600000	0.500000	0.170110	0.347780	10.000000	10.266827	10.502475	2999
0.416667	0.600000	0.500000	0.159993	0.358203	10.000000	10.284021	10.502606	2999
0.416667	0.600000	0.500000	0.144097	0.373140	10.000000	10.310703	10.502798	2999
0.416667	0.600000	0.500000	0.143450	0.374550	10.000000	10.309516	10.502463	2999
0.416667	0.600000	0.500000	0.183077	0.337483	10.000000	10.248940	10.502450	2999
0.416667	0.600000	0.500000	0.136140	0.383117	10.000000	10.322047	10.502494	2999
0.416667	0.600000	0.500000	0.154903	0.363440	10.000000	10.292727	10.502837	2999
0.416667	0.600000	0.500000	0.167150	0.350460	10.000000	10.273662	10.502961	2999
0.416667	0.600000	0.500000	0.131690	0.387630	10.000000	10.330610	10.502596	2999
0.416667	0.600000	0.500000	0.140317	0.377267	10.000000	10.316957	10.502713	2999
0.416667	0.600000	0.500000	0.127540	0.391990	10.000000	10.339074	10.502652	2999
0.416667	0.600000	0.500000	0.139657	0.378970	10.000000	10.317613	10.502979	2999
0.416667	0.600000	0.500000	0.152867	0.366633	10.000000	10.294680	10.502247	2999
0.416667	0.600000	0.500000	0.142463	0.375770	10.000000	10.312436	10.502531	2999
0.416667	0.600000	0.500000	0.184790	0.335383	10.000000	10.246321	10.502495	2999
0.416667	0.600000	0.500000	0.120393	0.400840	10.000000	10.353145	10.503053	2999
0.416667	0.600000	0.500000	0.142703	0.374933	10.000000	10.312558	10.502700	2999
0.416667	0.600000	0.500000	0.175170	0.343060	10.000000	10.260958	10.502620	2999
0.416667	0.600000	0.500000	0.184960	0.335723	10.000000	10.246941	10.502743	2999
0.416667	0.600000	0.500000	0.130813	0.388057	10.000000	10.331058	10.502458	2999
0.416667	0.600000	0.500000	0.159473	0.357930	10.000000	10.284019	10.502409	2999
0.416667	0.600000	0.500000	0.178890	0.341173	10.000000	10.254843	10.502358	2999
0.416667	0.600000	0.500000	0.157897	0.360347	10.000000	10.286911	10.502840	2999
0.416667	0.600000	0.500000	0.142447	0.375177	10.000000	10.312490	10.502437	2999
0.416667	0.600000	0.500000	0.118573	0.402647	10.000000	10.355053	10.502592	2999
0.416667	0.600000	0.500000	0.135890	0.382377	10.000000	10.323536	10.502566	2999
0.416667	0.600000	0.500000	0.174200	0.343193	10.000000	10.261471	10.502392	2999
0.416667	0.600000	0.500000	0.107670	0.416280	10.000000	10.377526	10.503139	2999
0.416667	0.600000	0.500000	0.158900	0.358920	10.000000	10.286430	10.502921	2999
0.416667	0.600000	0.500000	0.149057	0.366990	10.000000	10.300667	10.502440	2999
0.416667	0.600000	0.500000	0.130363	0.392020	10.000000	10.335866	10.503079	2999
0.416667	0.600000	0.500000	0.193433	0.328187	10.000000	10.234702	10.502576	2999
0.416667	0.600000	0.500000	0.166443	0.351843	10.000000	10.274810	10.502751	2999
0.416667	0.600000	0.500000	0.164153	0.354753	10.000000	10.277614	10.502790	2999
0.416667	0.600000	0.500000	0.141653	0.379687	10.000000	10.315669	10.502517	2999
0.416667	0.600000	0.500000	0.150307	0.367410	10.000000	10.298907	10.502609	2999
0.416667	0.600000	0.500000	0.119540	0.401633	10.000000	10.353693	10.502449	2999
0.416667	0.600000	0.500000	0.171043	0.347393	10.000000	10.267790	10.502538	2999
0.416667	0.600000	0.500000	0.133370	0.385760	10.000000	10.328066	10.502390	2999
0.416667	0.600000	0.500000	0.146547	0.371440	10.000000	10.306100	10.502915	2999
0.416667	0.600000	0.500000	0.152223	0.366437	10.000000	10.298170	10.502793	2999
0.416667	0.600000	0.500000	0.153077	0.364057	10.000000	10.295198	10.502702	2999
0.416667	0.600000	0.500000	0.139537	0.377880	10.000000	10.316506	10.502670	2999
0.416667	0.600000	0.500000	0.138337	0.380300	10.000000	10.319522	10.502182	2999
0.416667	0.600000	0.500000	0.166363	0.351523	10.000000	10.272590	10.502202	2999
