mut_par_patt	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.156850	0.599940	10.000000	10.126833	9.823024	2999
0.250000	0.123700	0.652033	10.000000	10.168867	9.670060	2999
0.250000	0.132550	0.631090	10.000000	10.160318	9.779387	2999
0.250000	0.127280	0.649213	10.000000	10.159387	9.668455	2999
0.250000	0.097890	0.681093	10.000000	10.225786	9.610016	2999
0.250000	0.155683	0.607243	10.000000	10.121522	9.791393	2999
0.250000	0.145560	0.588333	10.000000	10.168788	9.930646	2999
0.250000	0.075040	0.699833	10.000000	10.296401	9.553685	2999
0.250000	0.160250	0.604093	10.000000	10.110936	9.771597	2999
0.250000	0.059797	0.710317	10.000000	10.365308	9.511218	2999
0.250000	0.113200	0.661553	10.000000	10.192038	9.700367	2999
0.250000	0.170187	0.558280	10.000000	10.132955	9.947369	2999
0.250000	0.110753	0.667053	10.000000	10.193254	9.605020	2999
0.250000	0.129647	0.647187	10.000000	10.154028	9.656697	2999
0.250000	0.128107	0.621000	10.000000	10.186195	9.867418	2999
0.250000	0.134853	0.597343	10.000000	10.191863	9.939513	2999
0.250000	0.168477	0.601180	10.000000	10.095110	9.752438	2999
0.250000	0.102140	0.675277	10.000000	10.219261	9.579772	2999
0.250000	0.122617	0.654887	10.000000	10.170310	9.540447	2999
0.250000	0.111407	0.660833	10.000000	10.197882	9.720321	2999
0.250000	0.078450	0.698440	10.000000	10.285118	9.574884	2999
0.250000	0.018193	0.739070	10.000000	10.659819	9.459947	2999
0.250000	0.042617	0.721257	10.000000	10.457397	9.482391	2999
0.250000	0.100587	0.678450	10.000000	10.218301	9.618796	2999
0.250000	0.125480	0.652180	10.000000	10.162430	9.657795	2999
0.250000	0.125043	0.654300	10.000000	10.161778	9.632085	2999
0.250000	0.094777	0.683890	10.000000	10.235805	9.615295	2999
0.250000	0.047293	0.715283	10.000000	10.426622	9.480453	2999
0.250000	0.003047	0.732703	10.000000	15.043024	9.401160	2999
0.250000	0.080247	0.693003	10.000000	10.285532	9.534452	2999
0.250000	0.110493	0.668370	10.000000	10.195928	9.619966	2999
0.250000	0.155677	0.618410	10.000000	10.111149	9.716488	2999
0.250000	0.023773	0.724653	10.000000	10.641352	9.441117	2999
0.250000	0.071123	0.701883	10.000000	10.312471	9.540582	2999
0.250000	0.077123	0.693843	10.000000	10.298861	9.524097	2999
0.250000	0.074687	0.702437	10.000000	10.297294	9.572434	2999
0.250000	0.100747	0.676200	10.000000	10.220392	9.594393	2999
0.250000	0.082630	0.694647	10.000000	10.272772	9.577960	2999
0.250000	0.139307	0.631733	10.000000	10.142732	9.728840	2999
0.250000	0.108640	0.668940	10.000000	10.205301	9.579746	2999
0.250000	0.096597	0.672793	10.000000	10.244906	9.500397	2999
0.250000	0.120367	0.655680	10.000000	10.173960	9.657682	2999
0.250000	0.103287	0.671450	10.000000	10.216768	9.697376	2999
0.250000	0.082800	0.695750	10.000000	10.269339	9.597535	2999
0.250000	0.182333	0.577783	10.000000	10.083812	9.813224	2999
0.250000	0.107493	0.670473	10.000000	10.202015	9.588485	2999
0.250000	0.116087	0.662563	10.000000	10.184399	9.609663	2999
0.250000	0.184447	0.556037	10.000000	10.103195	9.906491	2999
0.250000	0.094253	0.683603	10.000000	10.235411	9.632119	2999
0.250000	0.050380	0.724643	10.000000	10.400781	9.531420	2999
0.250000	0.155997	0.615253	10.000000	10.112308	9.729953	2999
0.250000	0.085940	0.681850	10.000000	10.274862	9.491336	2999
0.250000	0.066323	0.713060	10.000000	10.326022	9.586376	2999
0.250000	0.098703	0.678113	10.000000	10.224788	9.585524	2999
0.250000	0.092290	0.687210	10.000000	10.242852	9.592926	2999
0.250000	0.158880	0.598350	10.000000	10.122350	9.820938	2999
0.250000	0.095280	0.683447	10.000000	10.234448	9.658051	2999
0.250000	0.111033	0.666817	10.000000	10.195149	9.604883	2999
0.250000	0.113050	0.661683	10.000000	10.192807	9.708857	2999
0.250000	0.106040	0.672100	10.000000	10.206012	9.661110	2999
0.250000	0.165110	0.598727	10.000000	10.105690	9.784180	2999
0.250000	0.092803	0.684093	10.000000	10.269691	9.545890	2999
0.250000	0.093907	0.684807	10.000000	10.235461	9.637210	2999
0.250000	0.135087	0.630333	10.000000	10.156701	9.776221	2999
0.250000	0.091043	0.682993	10.000000	10.248330	9.543144	2999
0.250000	0.133643	0.642393	10.000000	10.147047	9.669942	2999
0.250000	0.109037	0.668163	10.000000	10.198389	9.647506	2999
0.250000	0.149317	0.587740	10.000000	10.159978	9.914716	2999
0.250000	0.101813	0.674730	10.000000	10.220045	9.564088	2999
0.250000	0.108013	0.661883	10.000000	10.208647	9.751543	2999
0.250000	0.113147	0.661250	10.000000	10.190633	9.688836	2999
0.250000	0.139040	0.633817	10.000000	10.140196	9.713544	2999
