mut_par_size	mut_par_patt	typ1_err	typ2_err	            rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.035737	0.036337	0.197187	0.011260	10.000000	11.946803	9.999344	10.000000	10.940938	12.000056	2999
0.250000	0.250000	0.034440	0.033843	0.194123	0.010337	10.000000	12.812949	9.999814	10.000000	10.918984	11.999997	2999
0.250000	0.250000	0.040297	0.027603	0.194860	0.008890	10.000000	11.751250	10.000308	10.000000	10.861404	12.000051	2999
0.250000	0.250000	0.031910	0.039803	0.195640	0.012077	10.000000	12.591904	9.999865	10.000000	10.960061	12.000071	2999
0.250000	0.250000	0.031267	0.039203	0.195203	0.012060	10.000000	13.699577	9.999701	10.000000	10.957752	12.000371	2999
0.250000	0.250000	0.042367	0.027707	0.196647	0.008913	10.000000	11.449843	9.999628	10.000000	10.864940	12.000098	2999
0.250000	0.250000	0.034077	0.034677	0.195353	0.010763	10.000000	12.061757	10.000155	10.000000	10.922136	11.999820	2999
0.250000	0.250000	0.036340	0.031587	0.194407	0.010080	10.000000	13.795590	10.000250	10.000000	10.893948	11.999558	2999
0.250000	0.250000	0.034597	0.034133	0.194267	0.010840	10.000000	13.646787	10.000344	10.000000	10.919169	12.000161	2999
0.250000	0.250000	0.030993	0.039637	0.195410	0.011757	10.000000	13.706239	9.999787	10.000000	10.960363	11.999473	2999
0.250000	0.250000	0.035667	0.032950	0.194183	0.010147	10.000000	11.519959	9.999282	10.000000	10.909917	12.000042	2999
0.250000	0.250000	0.031377	0.041113	0.195813	0.012403	10.000000	12.850015	9.999670	10.000000	10.962618	11.998774	2999
0.250000	0.250000	0.045007	0.024013	0.197517	0.007830	10.000000	14.548851	10.000238	10.000000	10.823025	11.999688	2999
0.250000	0.250000	0.037767	0.029907	0.194673	0.009087	10.000000	12.750093	9.999593	10.000000	10.882344	12.000155	2999
0.250000	0.250000	0.036910	0.031620	0.194800	0.009863	10.000000	11.789478	9.999947	10.000000	10.901980	12.000780	2999
0.250000	0.250000	0.035127	0.033073	0.194493	0.010307	10.000000	15.106950	9.999341	10.000000	10.908866	12.000031	2999
0.250000	0.250000	0.034190	0.035133	0.195163	0.010803	10.000000	12.445064	10.000549	10.000000	10.922868	11.999768	2999
0.250000	0.250000	0.039007	0.029357	0.194910	0.009303	10.000000	12.172717	10.000541	10.000000	10.872528	11.999897	2999
0.250000	0.250000	0.035883	0.032623	0.194613	0.010183	10.000000	11.512492	9.999245	10.000000	10.910255	11.999860	2999
