sd_patt	sd_par_patt	min_patt_dif	typ1_err	typ2_err	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.416667	0.600000	0.500000	0.120707	0.399947	10.000000	10.349892	10.502298	2999
0.416667	0.600000	0.500000	0.149807	0.368713	10.000000	10.300668	10.502564	2999
0.416667	0.600000	0.500000	0.145390	0.372267	10.000000	10.308046	10.502582	2999
0.416667	0.600000	0.500000	0.153240	0.365150	10.000000	10.293811	10.502581	2999
0.416667	0.600000	0.500000	0.191863	0.329120	10.000000	10.235927	10.502398	2999
0.416667	0.600000	0.500000	0.180573	0.340120	10.000000	10.252577	10.502319	2999
0.416667	0.600000	0.500000	0.177473	0.341573	10.000000	10.256327	10.502535	2999
0.416667	0.600000	0.500000	0.116303	0.406377	10.000000	10.358816	10.502626	2999
0.416667	0.600000	0.500000	0.137167	0.380740	10.000000	10.320682	10.502755	2999
0.416667	0.600000	0.500000	0.130667	0.388500	10.000000	10.333270	10.502817	2999
0.416667	0.600000	0.500000	0.117287	0.404887	10.000000	10.356767	10.502816	2999
0.416667	0.600000	0.500000	0.158363	0.359510	10.000000	10.287139	10.502959	2999
0.416667	0.600000	0.500000	0.158320	0.358817	10.000000	10.287178	10.502749	2999
0.416667	0.600000	0.500000	0.181073	0.337960	10.000000	10.252822	10.503011	2999
0.416667	0.600000	0.500000	0.166347	0.352243	10.000000	10.272521	10.502631	2999
0.416667	0.600000	0.500000	0.134847	0.383283	10.000000	10.325018	10.503054	2999
0.416667	0.600000	0.500000	0.188850	0.331510	10.000000	10.241822	10.502754	2999
0.416667	0.600000	0.500000	0.128723	0.391157	10.000000	10.336087	10.502463	2999
0.416667	0.600000	0.500000	0.135797	0.383707	10.000000	10.325525	10.502937	2999
0.416667	0.600000	0.500000	0.188133	0.332047	10.000000	10.242490	10.502594	2999
0.416667	0.600000	0.500000	0.171743	0.347400	10.000000	10.266897	10.502954	2999
0.416667	0.600000	0.500000	0.135860	0.381900	10.000000	10.323335	10.502707	2999
0.416667	0.600000	0.500000	0.160380	0.357117	10.000000	10.283408	10.502859	2999
0.416667	0.600000	0.500000	0.164057	0.354413	10.000000	10.279532	10.502909	2999
0.416667	0.600000	0.500000	0.173310	0.344533	10.000000	10.263171	10.502400	2999
0.416667	0.600000	0.500000	0.119107	0.402633	10.000000	10.353966	10.502532	2999
