mut_par_size	mut_par_patt	typ1_err	typ2_err	            avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.013770	0.501700	10.000000	13.381036	9.183342	10.000000	11.078940	9.641563	2999
0.250000	0.250000	0.102550	0.516333	10.000000	10.365808	10.000172	10.000000	11.680636	9.467238	2999
0.250000	0.250000	0.109720	0.398660	10.000000	14.192827	9.207497	10.000000	10.410412	10.120291	2999
0.250000	0.250000	0.020057	0.084750	10.000000	11.683646	8.222058	10.000000	11.372129	10.250556	2999
0.250000	0.250000	0.128657	0.298983	10.000000	10.463139	10.657385	10.000000	10.757778	10.165789	2999
0.250000	0.250000	0.058370	0.074500	10.000000	10.717116	11.522575	10.000000	12.953087	9.605869	2999
0.250000	0.250000	0.147090	0.163423	10.000000	10.426848	10.981609	10.000000	11.928650	9.968500	2999
0.250000	0.250000	0.125630	0.437887	10.000000	11.816333	9.433599	10.000000	10.345618	10.174630	2999
0.250000	0.250000	0.148963	0.289053	10.000000	11.308254	9.846884	10.000000	10.368216	10.640344	2999
0.250000	0.250000	0.051663	0.315883	10.000000	14.113198	8.883872	10.000000	10.671279	10.123487	2999
0.250000	0.250000	0.072623	0.097957	10.000000	10.647820	11.214133	10.000000	11.819838	9.128023	2999
0.250000	0.250000	0.136133	0.294790	10.000000	10.664554	10.180826	10.000000	10.481109	10.648114	2999
0.250000	0.250000	0.166153	0.409263	10.000000	10.501557	10.095065	10.000000	10.406911	10.263590	2999
0.250000	0.250000	0.096563	0.119653	10.000000	13.178015	9.397949	10.000000	10.559173	11.145290	2999
0.250000	0.250000	0.118163	0.241440	10.000000	10.739097	10.233114	10.000000	10.534384	10.825538	2999
0.250000	0.250000	0.091250	0.362093	10.000000	10.483665	10.238954	10.000000	13.551762	9.136425	2999
0.250000	0.250000	0.105807	0.197113	10.000000	10.511360	10.981848	10.000000	11.265979	9.919403	2999
0.250000	0.250000	0.021973	0.034237	10.000000	11.245854	10.512140	10.000000	12.020810	7.969022	2999
0.250000	0.250000	0.121233	0.165647	10.000000	10.540430	10.976258	10.000000	10.787051	10.433156	2999
0.250000	0.250000	0.032647	0.524943	10.000000	13.132304	9.230522	10.000000	10.725408	9.780532	2999
0.250000	0.250000	0.114010	0.558113	10.000000	10.299807	9.827548	10.000000	11.513656	9.557465	2999
0.250000	0.250000	0.153577	0.292480	10.000000	10.362499	10.620018	10.000000	11.049206	9.841663	2999
0.250000	0.250000	0.135000	0.321273	10.000000	10.753689	10.147834	10.000000	10.439427	10.591366	2999
0.250000	0.250000	0.132813	0.211620	10.000000	10.446900	10.870906	10.000000	11.007843	9.907978	2999
0.250000	0.250000	0.099003	0.109220	10.000000	10.634007	11.198133	10.000000	10.806445	10.584685	2999
