mut_par_size	typ1_err	typ2_err	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.122503	0.654893	10.000000	10.169454	9.588393	2999
0.250000	0.133060	0.637067	10.000000	10.155748	9.736674	2999
0.250000	0.128677	0.630790	10.000000	10.176251	9.813093	2999
0.250000	0.103900	0.674723	10.000000	10.209055	9.625919	2999
0.250000	0.129233	0.628340	10.000000	10.175863	9.824058	2999
0.250000	0.065350	0.711397	10.000000	10.330723	9.559218	2999
0.250000	0.064417	0.709587	10.000000	10.341271	9.538357	2999
0.250000	0.096293	0.681043	10.000000	10.232604	9.666963	2999
0.250000	0.119363	0.660293	10.000000	10.177508	9.590429	2999
0.250000	0.136823	0.640260	10.000000	10.138732	9.678152	2999
0.250000	0.123743	0.640227	10.000000	10.182240	9.786330	2999
0.250000	0.119887	0.655223	10.000000	10.178361	9.688359	2999
0.250000	0.116743	0.656463	10.000000	10.186418	9.716792	2999
0.250000	0.061650	0.699007	10.000000	10.361632	9.472678	2999
0.250000	0.139937	0.636813	10.000000	10.134037	9.667720	2999
0.250000	0.157590	0.607263	10.000000	10.117771	9.777201	2999
0.250000	0.138713	0.630543	10.000000	10.145489	9.746795	2999
0.250000	0.153987	0.598210	10.000000	10.135026	9.845810	2999
0.250000	0.129950	0.646930	10.000000	10.153753	9.668076	2999
0.250000	0.064263	0.710587	10.000000	10.337728	9.537963	2999
0.250000	0.143923	0.631407	10.000000	10.129546	9.697839	2999
0.250000	0.132040	0.640773	10.000000	10.154117	9.712963	2999
0.250000	0.146200	0.617993	10.000000	10.136649	9.782809	2999
0.250000	0.100100	0.677910	10.000000	10.220891	9.610677	2999
0.250000	0.093563	0.684713	10.000000	10.237143	9.639136	2999
0.250000	0.083410	0.692313	10.000000	10.270353	9.561687	2999
0.250000	0.071500	0.694947	10.000000	10.319435	9.492351	2999
0.250000	0.123600	0.650247	10.000000	10.170993	9.694407	2999
0.250000	0.071463	0.709020	10.000000	10.304531	9.604460	2999
0.250000	0.122337	0.650190	10.000000	10.175152	9.714590	2999
0.250000	0.125197	0.625807	10.000000	10.193180	9.864499	2999
0.250000	0.080583	0.693933	10.000000	10.280805	9.552755	2999
0.250000	0.164380	0.598460	10.000000	10.106997	9.787304	2999
