mut_par_size	mut_par_patt	typ1_err	typ2_err	            rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	avg_patt	avg_patt_thr	avg_par_patt	end_gen
0.250000	0.250000	0.029197	0.039113	0.193420	0.011810	10.000000	13.644334	10.180225	10.000000	11.010890	12.059753	2999
0.250000	0.250000	0.188663	0.566413	0.485830	0.302543	10.000000	10.410001	9.842183	10.000000	11.137659	9.475340	2999
0.250000	0.250000	0.229377	0.533447	0.482627	0.311063	10.000000	10.340242	10.117323	10.000000	11.193066	9.746241	2999
0.250000	0.250000	0.152020	0.547947	0.474193	0.266190	10.000000	10.467160	9.502787	10.000000	12.998564	9.438939	2999
0.250000	0.250000	0.021743	0.388347	0.384793	0.111433	10.000000	12.009072	9.257087	10.000000	11.986184	9.182761	2999
0.250000	0.250000	0.233100	0.515827	0.479813	0.302197	10.000000	10.486252	10.067361	10.000000	10.529353	10.095994	2999
0.250000	0.250000	0.105733	0.194607	0.315583	0.081567	10.000000	12.028939	9.200138	10.000000	10.573789	10.855605	2999
0.250000	0.250000	0.043140	0.030993	0.198750	0.010133	10.000000	10.838123	11.942702	10.000000	13.141451	9.916328	2999
0.250000	0.250000	0.133473	0.344870	0.390747	0.157860	10.000000	12.512042	9.204141	10.000000	10.503346	10.390165	2999
0.250000	0.250000	0.219340	0.606970	0.503907	0.345253	10.000000	11.039588	9.658492	10.000000	10.374857	9.804750	2999
0.250000	0.250000	0.192873	0.579977	0.490447	0.312320	10.000000	10.726557	9.545187	10.000000	10.476503	9.571476	2999
0.250000	0.250000	0.131020	0.328577	0.383547	0.150523	10.000000	10.510079	10.695891	10.000000	12.009440	9.714667	2999
0.250000	0.250000	0.243790	0.595150	0.504057	0.355497	10.000000	10.502970	9.861818	10.000000	10.493007	9.831342	2999
0.250000	0.250000	0.069603	0.068243	0.235523	0.024980	10.000000	10.832978	11.287480	10.000000	10.813124	11.117684	2999
0.250000	0.250000	0.045390	0.060237	0.216003	0.019213	10.000000	10.817261	11.722402	10.000000	13.007809	9.837704	2999
0.250000	0.250000	0.032447	0.070497	0.212850	0.021717	10.000000	12.178402	8.526146	10.000000	10.960558	11.186893	2999
0.250000	0.250000	0.213107	0.461603	0.457080	0.260557	10.000000	12.057239	9.556675	10.000000	10.360783	10.219024	2999
0.250000	0.250000	0.148033	0.451653	0.437393	0.216440	10.000000	11.369152	9.227533	10.000000	10.475619	10.029470	2999
0.250000	0.250000	0.163077	0.339320	0.400113	0.169347	10.000000	10.444940	10.602504	10.000000	11.726242	9.710970	2999
0.250000	0.250000	0.249360	0.531467	0.488883	0.319990	10.000000	10.341737	10.100130	10.000000	10.904247	9.844798	2999
0.250000	0.250000	0.039820	0.053310	0.208900	0.016990	10.000000	11.474850	8.953164	10.000000	10.877051	11.590839	2999
0.250000	0.250000	0.149390	0.264257	0.366127	0.127413	10.000000	10.470541	10.650902	10.000000	11.995017	9.347784	2999
0.250000	0.250000	0.221007	0.611403	0.504553	0.349830	10.000000	10.630917	9.702240	10.000000	10.449483	9.765094	2999
0.250000	0.250000	0.217217	0.504070	0.471127	0.286823	10.000000	10.442968	10.231235	10.000000	10.647375	9.821571	2999
0.250000	0.250000	0.099037	0.257970	0.341207	0.105800	10.000000	13.876820	9.119248	10.000000	10.588061	10.639827	2999
0.250000	0.250000	0.157687	0.432167	0.431673	0.211760	10.000000	10.458810	10.072981	10.000000	11.801148	9.214212	2999
0.250000	0.250000	0.094610	0.252520	0.336787	0.101883	10.000000	10.603607	10.589009	10.000000	12.372768	9.031160	2999
0.250000	0.250000	0.122963	0.332160	0.382877	0.148057	10.000000	11.327924	9.201720	10.000000	10.533120	10.457850	2999
0.250000	0.250000	0.161480	0.416133	0.426307	0.207627	10.000000	10.450277	10.092547	10.000000	11.491665	9.196222	2999
0.250000	0.250000	0.046717	0.079460	0.226767	0.025963	10.000000	12.024164	9.647686	10.000000	10.813778	11.605743	2999
0.250000	0.250000	0.076647	0.319627	0.361557	0.120733	10.000000	10.674919	10.126815	10.000000	12.646925	8.892219	2999
0.250000	0.250000	0.177033	0.569343	0.484333	0.295677	10.000000	12.443891	9.467449	10.000000	10.420766	9.844428	2999
0.250000	0.250000	0.020947	0.414047	0.399790	0.119120	10.000000	12.310192	9.419126	10.000000	14.445194	9.117066	2999
0.250000	0.250000	0.031340	0.027160	0.188547	0.008033	10.000000	10.959873	12.084744	10.000000	13.232812	9.725663	2999
0.250000	0.250000	0.154013	0.235157	0.356423	0.115380	10.000000	10.460378	10.843169	10.000000	12.612160	9.803357	2999
0.250000	0.250000	0.083127	0.070710	0.246510	0.026977	10.000000	10.752153	11.163235	10.000000	10.805168	11.141049	2999
0.250000	0.250000	0.208800	0.495367	0.466870	0.275337	10.000000	10.501862	10.193663	10.000000	10.577765	10.116925	2999
0.250000	0.250000	0.092987	0.206320	0.315057	0.082727	10.000000	12.834617	9.652289	10.000000	10.607932	11.028348	2999
0.250000	0.250000	0.138230	0.241600	0.351767	0.112497	10.000000	10.493464	10.826612	10.000000	12.597028	9.629302	2999
0.250000	0.250000	0.202130	0.499000	0.466087	0.274530	10.000000	10.432514	10.262530	10.000000	10.740855	9.903054	2999
0.250000	0.250000	0.177687	0.359373	0.412383	0.186187	10.000000	10.541916	10.428957	10.000000	10.626641	10.390222	2999
0.250000	0.250000	0.101260	0.156070	0.296173	0.064723	10.000000	10.588570	11.160765	10.000000	11.359717	10.306386	2999
0.250000	0.250000	0.125727	0.222613	0.337937	0.100173	10.000000	15.798875	9.682052	10.000000	10.520373	10.909372	2999
0.250000	0.250000	0.182433	0.585257	0.490857	0.307557	10.000000	11.868736	9.508267	10.000000	10.413214	9.792427	2999
0.250000	0.250000	0.114573	0.205833	0.324987	0.089877	10.000000	11.222245	10.113891	10.000000	10.552737	11.009625	2999
0.250000	0.250000	0.204593	0.437013	0.446403	0.241383	10.000000	10.372687	10.205828	10.000000	14.046688	9.428166	2999
0.250000	0.250000	0.039577	0.043053	0.202957	0.013490	10.000000	10.979704	11.557598	10.000000	11.001087	11.399535	2999
0.250000	0.250000	0.112833	0.261803	0.348383	0.112413	10.000000	10.855704	10.398893	10.000000	10.606539	10.846152	2999
0.250000	0.250000	0.066693	0.100330	0.250307	0.035697	10.000000	10.850841	11.200870	10.000000	10.815400	11.031639	2999
0.250000	0.250000	0.207870	0.507900	0.469727	0.283623	10.000000	10.843300	9.709199	10.000000	10.398404	10.198009	2999
0.250000	0.250000	0.226527	0.438580	0.455373	0.252533	10.000000	10.460783	10.340079	10.000000	10.593218	10.016518	2999
0.250000	0.250000	0.232943	0.557237	0.489957	0.326623	10.000000	12.078509	9.567544	10.000000	10.333052	9.917696	2999
0.250000	0.250000	0.231643	0.546197	0.487287	0.318040	10.000000	10.533453	10.057614	10.000000	10.484185	9.989691	2999
0.250000	0.250000	0.127207	0.513900	0.458283	0.233843	10.000000	10.524656	9.522917	10.000000	11.773359	9.328109	2999
0.250000	0.250000	0.042007	0.048253	0.207467	0.015223	10.000000	10.862543	11.813041	10.000000	13.812584	9.575029	2999
0.250000	0.250000	0.203420	0.505693	0.468367	0.278033	10.000000	11.352503	9.487055	10.000000	10.376698	10.067778	2999
0.250000	0.250000	0.138513	0.275490	0.364757	0.128503	10.000000	10.565156	10.744118	10.000000	10.768881	10.381575	2999
