mut_par_size	typ1_err	typ2_err	rej_rate	acp_rate	avg_size	avg_size_thr	avg_par_size	end_gen
0.250000	0.281903	0.652227	0.525233	0.416743	10.000000	10.255461	9.888694	2999
0.250000	0.262800	0.668290	0.527207	0.412800	10.000000	10.278934	9.881518	2999
0.250000	0.260510	0.700970	0.534653	0.431900	10.000000	10.281393	9.621138	2999
0.250000	0.281053	0.692343	0.535413	0.441247	10.000000	10.256278	9.648286	2999
0.250000	0.254480	0.639010	0.517390	0.388313	10.000000	10.288995	9.987384	2999
0.250000	0.242210	0.707573	0.534073	0.422130	10.000000	10.309056	9.595135	2999
0.250000	0.198020	0.645153	0.512477	0.350940	10.000000	10.374070	9.321944	2999
0.250000	0.264663	0.699813	0.535627	0.433983	10.000000	10.278012	9.653668	2999
0.250000	0.242487	0.694713	0.530947	0.415737	10.000000	10.305774	9.508276	2999
0.250000	0.276903	0.694660	0.535167	0.439793	10.000000	10.260328	9.639644	2999
0.250000	0.254417	0.697237	0.533070	0.424187	10.000000	10.290164	9.547670	2999
0.250000	0.242663	0.699937	0.532813	0.416730	10.000000	10.307964	9.536908	2999
0.250000	0.255047	0.699803	0.533723	0.425983	10.000000	10.289539	9.748034	2999
0.250000	0.221503	0.692627	0.528817	0.396443	10.000000	10.335626	9.472609	2999
0.250000	0.244237	0.710550	0.536250	0.424417	10.000000	10.304586	9.673461	2999
0.250000	0.247493	0.709503	0.535500	0.427463	10.000000	10.300045	9.628717	2999
0.250000	0.242807	0.709227	0.534887	0.423477	10.000000	10.305476	9.740491	2999
0.250000	0.251197	0.704687	0.534350	0.426753	10.000000	10.295266	9.600986	2999
0.250000	0.271063	0.698133	0.535510	0.437693	10.000000	10.268886	9.664054	2999
0.250000	0.264983	0.696083	0.533667	0.431763	10.000000	10.275263	9.732335	2999
0.250000	0.273827	0.695317	0.535373	0.436383	10.000000	10.264587	9.669770	2999
0.250000	0.260817	0.700093	0.534087	0.431170	10.000000	10.281181	9.640128	2999
0.250000	0.256443	0.664637	0.525153	0.406637	10.000000	10.287884	9.907978	2999
0.250000	0.283963	0.670213	0.531517	0.428297	10.000000	10.251643	9.821620	2999
0.250000	0.260977	0.692737	0.531953	0.426993	10.000000	10.280582	9.766281	2999
0.250000	0.231780	0.714080	0.536243	0.416980	10.000000	10.320970	9.595392	2999
0.250000	0.256153	0.704677	0.535883	0.430483	10.000000	10.288330	9.653935	2999
0.250000	0.278360	0.657260	0.526110	0.417200	10.000000	10.257944	9.878806	2999
0.250000	0.237747	0.708247	0.534557	0.418497	10.000000	10.313660	9.576081	2999
0.250000	0.253887	0.696503	0.532297	0.424793	10.000000	10.291323	9.538180	2999
0.250000	0.271100	0.674070	0.529853	0.422233	10.000000	10.267687	9.834307	2999
0.250000	0.232880	0.708943	0.533560	0.415807	10.000000	10.319581	9.560881	2999
0.250000	0.242523	0.641597	0.516407	0.382380	10.000000	10.306007	9.997872	2999
0.250000	0.233497	0.714603	0.536247	0.419447	10.000000	10.319045	9.639788	2999
0.250000	0.255237	0.702460	0.534167	0.429010	10.000000	10.289382	9.707657	2999
0.250000	0.273483	0.694647	0.536143	0.436097	10.000000	10.266695	9.701329	2999
0.250000	0.253410	0.705857	0.534590	0.428927	10.000000	10.291506	9.635503	2999
0.250000	0.286553	0.684530	0.535150	0.439140	10.000000	10.247949	9.720442	2999
0.250000	0.249647	0.708857	0.535413	0.428133	10.000000	10.297304	9.660306	2999
0.250000	0.242860	0.711427	0.535107	0.424603	10.000000	10.305266	9.704433	2999
0.250000	0.288537	0.678517	0.533210	0.436947	10.000000	10.245691	9.761365	2999
0.250000	0.275950	0.683843	0.532597	0.430983	10.000000	10.261882	9.778651	2999
0.250000	0.242607	0.707993	0.534653	0.421960	10.000000	10.306070	9.614234	2999
0.250000	0.250203	0.665020	0.524543	0.401713	10.000000	10.294714	9.922743	2999
0.250000	0.252040	0.705227	0.535517	0.428597	10.000000	10.292821	9.715695	2999
0.250000	0.257767	0.700563	0.534610	0.429923	10.000000	10.285867	9.740831	2999
0.250000	0.270627	0.697537	0.534523	0.437303	10.000000	10.266895	9.678597	2999
0.250000	0.255707	0.704357	0.535497	0.429990	10.000000	10.289197	9.685851	2999
0.250000	0.252160	0.707350	0.534453	0.428663	10.000000	10.292857	9.625434	2999
0.250000	0.254453	0.704673	0.534040	0.428750	10.000000	10.289365	9.683416	2999
0.250000	0.249977	0.644237	0.517950	0.389060	10.000000	10.295888	9.978427	2999
0.250000	0.241970	0.678510	0.526630	0.404297	10.000000	10.305989	9.449348	2999
0.250000	0.242110	0.701313	0.532893	0.417770	10.000000	10.308740	9.548824	2999
0.250000	0.258123	0.699933	0.534350	0.429677	10.000000	10.285468	9.602249	2999
0.250000	0.243597	0.687097	0.528483	0.409917	10.000000	10.305478	9.862507	2999
0.250000	0.266200	0.698843	0.534617	0.434003	10.000000	10.275298	9.704277	2999
